# Simulation report. 
# Date: 1400/02/31 17:22:55
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,TotalTravelToNeighbor
0,1,0,0,6,25,194,34,0,160,194,
1,0,0,0,31,26,169,51,0,118,169,
2,0,0,0,57,22,141,53,0,90,143,
3,0,0,0,79,21,119,37,0,84,121,
4,0,0,0,100,14,100,32,0,68,100,
5,0,0,0,114,8,86,26,0,60,86,
6,0,0,0,122,9,78,15,0,63,78,
7,0,0,0,131,6,69,15,0,54,69,
8,0,0,0,137,2,63,14,0,49,63,
9,0,0,0,139,6,61,15,0,46,61,
10,0,0,0,145,5,55,11,0,44,55,
11,0,0,0,150,1,50,11,0,39,50,
12,0,0,0,151,1,49,17,0,32,49,
13,0,0,0,152,3,47,12,0,36,48,
14,0,0,0,155,2,45,9,0,36,45,
15,0,0,0,157,1,43,12,0,31,43,
16,0,0,0,158,2,42,6,0,36,42,
17,0,0,0,160,2,40,10,0,30,40,
18,0,0,0,162,1,38,8,0,30,38,
19,0,0,0,163,0,37,8,0,29,37,
20,0,0,0,163,1,37,7,0,30,37,
21,0,0,0,164,0,36,8,0,28,36,
22,0,0,0,164,0,36,12,0,24,36,
23,0,0,0,164,1,36,9,0,27,36,
24,0,0,0,165,3,35,11,0,24,35,
25,0,0,0,168,2,32,6,0,26,32,
26,0,0,0,170,0,30,6,0,24,30,
27,0,0,0,170,0,30,5,0,25,30,
28,0,0,0,170,0,30,9,0,21,30,
29,0,0,0,170,1,30,3,0,27,30,
30,0,0,0,171,0,29,6,0,23,29,
31,0,0,0,171,1,29,6,0,23,29,
32,0,0,0,172,1,28,5,0,23,28,
33,0,0,0,173,1,27,9,0,18,27,
34,0,0,0,174,0,26,9,0,17,26,
35,0,0,0,174,0,26,4,0,22,26,
36,0,0,0,174,1,26,7,0,19,26,
37,0,0,0,175,0,25,3,0,22,25,
38,0,0,0,175,0,25,3,0,22,25,
39,0,0,0,175,2,25,5,0,20,25,
40,0,0,0,177,1,23,6,0,17,23,
41,0,0,0,178,0,22,7,0,15,22,
42,0,0,0,178,0,22,6,0,16,22,
43,0,0,0,178,1,22,4,0,18,22,
44,0,0,0,179,2,21,1,0,20,21,
45,0,0,0,181,0,19,4,0,15,19,
46,0,0,0,181,1,19,3,0,16,19,
47,0,0,0,182,0,18,2,0,16,18,
48,0,0,0,182,1,18,5,0,13,18,
49,0,0,0,183,0,17,1,0,16,17,
50,0,0,0,183,0,17,3,0,14,17,
51,0,0,0,183,0,17,8,0,9,17,
52,0,0,0,183,0,17,2,0,15,17,
53,0,0,0,183,0,17,5,0,12,17,
54,0,0,0,183,0,17,2,0,15,17,
55,0,0,0,183,0,17,3,0,14,17,
56,0,0,0,183,0,17,2,0,15,17,
57,0,0,0,183,1,17,2,0,15,17,
58,0,0,0,184,1,16,5,0,11,16,
59,0,0,0,185,1,15,1,0,14,15,
60,0,0,0,186,1,14,3,0,11,14,
61,0,0,0,187,0,13,1,0,12,13,
62,0,0,0,187,0,13,3,0,10,13,
63,0,0,0,187,0,13,4,0,9,13,
64,0,0,0,187,1,13,0,0,13,13,
65,0,0,0,188,0,12,1,0,11,12,
66,0,0,0,188,0,12,3,0,9,12,
67,0,0,0,188,0,12,3,0,9,12,
68,0,0,0,188,0,12,1,0,11,12,
69,0,0,0,188,0,12,1,0,11,12,
70,0,0,0,188,0,12,2,0,10,12,
71,0,0,0,188,0,12,2,0,10,12,
72,0,0,0,188,0,12,3,0,9,12,
73,0,0,0,188,0,12,0,0,12,12,
74,0,0,0,188,0,12,1,0,11,12,
75,0,0,0,188,0,12,4,0,8,12,
76,0,0,0,188,0,12,2,0,10,12,
77,0,0,0,188,0,12,2,0,10,12,
78,0,0,0,188,0,12,3,0,9,12,
79,0,0,0,188,0,12,2,0,10,12,
80,0,0,0,188,1,12,2,0,10,12,
81,0,0,0,189,1,11,1,0,10,11,
82,0,0,0,190,0,10,1,0,9,10,
83,0,0,0,190,0,10,3,0,7,10,
84,0,0,0,190,1,10,3,0,7,10,
85,0,0,0,191,0,9,2,0,7,9,
86,0,0,0,191,0,9,3,0,6,9,
87,0,0,0,191,1,9,1,0,8,9,
88,0,0,0,192,0,8,2,0,6,8,
89,0,0,0,192,0,8,0,0,8,8,
90,0,0,0,192,0,8,1,0,7,8,
91,0,0,0,192,0,8,1,0,7,8,
92,0,0,0,192,0,8,2,0,6,8,
93,0,0,0,192,0,8,2,0,6,8,
94,0,0,0,192,0,8,2,0,6,8,
95,0,0,0,192,1,8,2,0,6,8,
96,0,0,0,193,0,7,3,0,4,7,
97,0,0,0,193,1,7,1,0,6,7,
98,0,0,0,194,0,6,2,0,4,6,
99,0,0,0,194,1,6,0,0,6,6,
100,0,0,0,195,0,5,1,0,4,5,
101,0,0,0,195,0,5,2,0,3,5,
102,0,0,0,195,0,5,0,0,5,5,
103,0,0,0,195,0,5,0,0,5,5,
104,0,0,0,195,0,5,0,0,5,5,
105,0,0,0,195,0,5,2,0,3,5,
106,0,0,0,195,0,5,0,0,5,5,
107,0,0,0,195,0,5,1,0,4,5,
108,0,0,0,195,0,5,0,0,5,5,
109,0,0,0,195,0,5,1,0,4,5,
110,0,0,0,195,0,5,0,0,5,5,
111,0,0,0,195,0,5,1,0,4,5,
112,0,0,0,195,0,5,3,0,2,5,
113,0,0,0,195,0,5,0,0,5,5,
114,0,0,0,195,0,5,0,0,5,5,
115,0,0,0,195,0,5,1,0,4,5,
116,0,0,0,195,0,5,2,0,3,5,
117,0,0,0,195,0,5,0,0,5,5,
118,0,0,0,195,0,5,0,0,5,5,
119,0,0,0,195,0,5,1,0,4,5,
120,0,0,0,195,0,5,0,0,5,5,
121,0,0,0,195,0,5,0,0,5,5,
122,0,0,0,195,0,5,0,0,5,5,
123,0,0,0,195,0,5,2,0,3,5,
124,0,0,0,195,1,5,0,0,5,5,
125,0,0,0,196,0,4,1,0,3,4,
126,0,0,0,196,0,4,1,0,3,4,
127,0,0,0,196,0,4,1,0,3,4,
128,0,0,0,196,0,4,0,0,4,4,
129,0,0,0,196,0,4,0,0,4,4,
130,0,0,0,196,1,4,0,0,4,4,
131,0,0,0,197,0,3,0,0,3,3,
132,0,0,0,197,0,3,1,0,2,3,
133,0,0,0,197,0,3,0,0,3,3,
134,0,0,0,197,0,3,1,0,2,3,
135,0,0,0,197,0,3,1,0,2,3,
136,0,0,0,197,0,3,0,0,3,3,
137,0,0,0,197,0,3,0,0,3,3,
138,0,0,0,197,1,3,1,0,2,3,
139,0,0,0,198,0,2,0,0,2,2,
140,0,0,0,198,0,2,0,0,2,2,
141,0,0,0,198,1,2,0,0,2,2,
142,0,0,0,199,0,1,0,0,1,1,
143,0,0,0,199,0,1,0,0,1,1,
144,0,0,0,199,0,1,0,0,1,1,
145,0,0,0,199,0,1,1,0,0,1,
146,0,0,0,199,0,1,0,0,1,1,
147,0,0,0,199,0,1,0,0,1,1,
148,0,0,0,199,0,1,0,0,1,1,
149,0,0,0,199,0,1,1,0,0,1,
150,0,0,0,199,0,1,0,0,1,1,
151,0,0,0,199,0,1,0,0,1,1,
152,0,0,0,199,0,1,0,0,1,1,
153,0,0,0,199,0,1,0,0,1,1,
154,0,0,0,199,0,1,0,0,1,1,
155,0,0,0,199,0,1,0,0,1,1,
156,0,0,0,199,0,1,1,0,0,1,
157,0,0,0,199,0,1,0,0,1,1,
158,0,0,0,199,0,1,1,0,0,1,
159,0,0,0,199,0,1,0,0,1,1,
160,0,0,0,199,0,1,1,0,0,1,
161,0,0,0,199,0,1,0,0,1,1,
162,0,0,0,199,0,1,0,0,1,1,
163,0,0,0,199,0,1,1,0,0,1,
164,0,0,0,199,0,1,0,0,1,1,
165,0,0,0,199,0,1,1,0,0,1,
166,0,0,0,199,0,1,0,0,1,1,
167,0,0,0,199,0,1,1,0,0,1,
168,0,0,0,199,0,1,0,0,1,1,
169,0,0,0,199,0,1,1,0,0,1,
170,0,0,0,199,0,1,0,0,1,1,
171,0,0,0,199,0,1,1,0,0,1,
172,0,0,0,199,0,1,0,0,1,1,
173,0,0,0,199,0,1,0,0,1,1,
174,0,0,0,199,0,1,0,0,1,1,
175,0,0,0,199,0,1,0,0,1,1,
176,0,0,0,199,0,1,1,0,0,1,
177,0,0,0,199,0,1,0,0,1,1,
178,0,0,0,199,0,1,1,0,0,1,
179,0,0,0,199,0,1,0,0,1,1,
180,0,0,0,199,0,1,1,0,0,1,
181,0,0,0,199,0,1,0,0,1,1,
182,0,0,0,199,0,1,0,0,1,1,
183,0,0,0,199,0,1,0,0,1,1,
184,0,0,0,199,0,1,0,0,1,1,
