# Simulation report. 
# Date: 1400/02/31 17:28:24
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,TotalTravelToNeighbor
0,0,0,0,6,30,194,34,0,160,194,
1,0,0,0,36,37,164,56,0,108,164,
2,0,0,0,73,29,125,45,0,82,127,
3,0,0,0,102,12,96,25,0,73,98,
4,0,0,0,114,10,86,24,0,62,86,
5,0,0,0,124,6,76,17,0,59,76,
6,0,0,0,130,5,70,21,0,49,70,
7,0,0,0,135,4,64,14,0,51,65,
8,0,0,0,139,3,61,14,0,47,61,
9,1,0,0,142,6,58,7,0,51,58,
10,0,0,0,148,1,52,10,0,42,52,
11,0,0,0,149,2,51,6,0,45,51,
12,0,0,0,151,2,49,8,0,41,49,
13,0,0,0,153,3,47,8,0,39,47,
14,0,0,0,156,1,44,12,0,32,44,
15,0,0,0,157,0,43,4,0,39,43,
16,0,0,0,157,2,43,11,0,32,43,
17,0,0,0,159,0,41,12,0,29,41,
18,0,0,0,159,2,41,7,0,34,41,
19,0,0,0,161,0,39,7,0,32,39,
20,0,0,0,161,5,39,11,0,28,39,
21,0,0,0,166,3,34,4,0,30,34,
22,0,0,0,169,1,31,10,0,21,31,
23,0,0,0,170,1,30,6,0,24,30,
24,0,0,0,171,2,29,3,0,26,29,
25,0,0,0,173,1,27,6,0,21,27,
26,0,0,0,174,1,26,6,0,20,26,
27,0,0,0,175,0,25,3,0,22,25,
28,0,0,0,175,2,25,5,0,20,25,
29,0,0,0,177,2,23,4,0,19,23,
30,0,0,0,179,1,21,1,0,20,21,
31,0,0,0,180,0,20,2,0,18,20,
32,0,0,0,180,1,20,5,0,15,20,
33,0,0,0,181,0,19,4,0,15,19,
34,0,0,0,181,1,19,7,0,12,19,
35,0,0,0,182,1,18,3,0,15,18,
36,0,0,0,183,0,17,3,0,14,17,
37,0,0,0,183,1,17,1,0,16,17,
38,0,0,0,184,0,16,3,0,13,16,
39,0,0,0,184,0,16,3,0,13,16,
40,0,0,0,184,0,16,3,0,13,16,
41,0,0,0,184,0,16,5,0,11,16,
42,0,0,0,184,1,16,1,0,15,16,
43,0,0,0,185,1,15,3,0,12,15,
44,0,0,0,186,1,14,1,0,13,14,
45,0,0,0,187,1,13,2,0,11,13,
46,0,0,0,188,0,12,0,0,12,12,
47,0,0,0,188,1,12,5,0,7,12,
48,0,0,0,189,1,11,0,0,11,11,
49,0,0,0,190,0,10,2,0,8,10,
50,0,0,0,190,0,10,3,0,7,10,
51,0,0,0,190,0,10,0,0,10,10,
52,0,0,0,190,0,10,3,0,7,10,
53,0,0,0,190,1,10,0,0,10,10,
54,0,0,0,191,0,9,2,0,7,9,
55,0,0,0,191,1,9,2,0,7,9,
56,0,0,0,192,0,8,2,0,6,8,
57,0,0,0,192,0,8,0,0,8,8,
58,0,0,0,192,0,8,2,0,6,8,
59,0,0,0,192,0,8,1,0,7,8,
60,0,0,0,192,0,8,2,0,6,8,
61,0,0,0,192,0,8,4,0,4,8,
62,0,0,0,192,0,8,2,0,6,8,
63,0,0,0,192,0,8,2,0,6,8,
64,0,0,0,192,0,8,0,0,8,8,
65,0,0,0,192,0,8,2,0,6,8,
66,0,0,0,192,1,8,1,0,7,8,
67,0,0,0,193,0,7,2,0,5,7,
68,0,0,0,193,0,7,1,0,6,7,
69,0,0,0,193,0,7,0,0,7,7,
70,0,0,0,193,0,7,1,0,6,7,
71,0,0,0,193,1,7,3,0,4,7,
72,0,0,0,194,1,6,2,0,4,6,
73,0,0,0,195,0,5,0,0,5,5,
74,0,0,0,195,0,5,0,0,5,5,
75,0,0,0,195,0,5,0,0,5,5,
76,0,0,0,195,0,5,1,0,4,5,
77,0,0,0,195,0,5,0,0,5,5,
78,0,0,0,195,0,5,0,0,5,5,
79,0,0,0,195,0,5,3,0,2,5,
80,0,0,0,195,0,5,0,0,5,5,
81,0,0,0,195,0,5,1,0,4,5,
