# Simulation report. ,,,,,,,,,,
# Date: 1400/03/03 19:50:40,,,,,,,,,,
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,TotalTravelToNeighbor
0,1,0,0,6,27,194,34,0,160,194
1,0,0,0,33,30,167,51,3,113,164
2,0,0,0,63,23,134,53,1,83,136
3,0,0,0,86,16,111,38,1,75,113
4,0,0,0,102,17,96,41,0,57,98
5,0,0,0,119,12,81,25,0,56,81
6,0,0,0,131,4,69,13,0,56,69
7,0,0,0,135,4,65,17,0,48,65
8,0,0,0,139,3,61,19,0,42,61
9,0,0,0,142,1,58,13,0,45,58
10,0,0,0,143,0,57,8,0,49,57
11,0,0,0,143,1,57,16,0,41,57
12,0,0,0,144,0,56,17,0,39,56
13,0,0,0,144,1,56,14,0,42,56
14,0,0,0,145,2,55,11,0,44,55
15,0,0,0,147,2,53,18,0,35,53
16,0,0,0,149,0,51,16,0,35,51
17,0,0,0,149,3,51,14,0,37,51
18,0,0,0,152,3,48,9,0,39,48
19,0,0,0,155,2,45,10,0,35,45
20,0,0,0,157,1,43,11,0,32,43
21,0,0,0,158,2,42,12,0,30,42
22,0,0,0,160,4,40,8,0,32,40
23,0,0,0,164,1,36,13,0,23,36
24,0,0,0,165,2,35,11,0,24,35
25,0,0,0,167,1,33,7,1,25,32
26,0,0,0,168,1,31,5,0,27,32
27,0,0,0,169,1,31,6,0,25,31
28,0,0,0,170,0,30,10,0,20,30
29,0,0,0,170,3,30,8,0,22,30
30,0,0,0,173,2,27,8,0,19,27
31,0,0,0,175,1,25,7,0,18,25
32,0,0,0,176,2,24,6,0,18,24
33,0,0,0,178,2,22,4,0,18,22
34,0,0,0,180,0,20,4,0,16,20
35,0,0,0,180,1,20,6,0,14,20
36,0,0,0,181,0,19,6,0,13,19
37,0,0,0,181,1,19,7,0,12,19
38,0,0,0,182,0,18,3,0,15,18
39,0,0,0,182,0,18,6,0,12,18
40,0,0,0,182,0,18,3,0,15,18
41,0,0,0,182,0,18,7,0,11,18
42,0,0,0,182,0,18,4,0,14,18
43,0,0,0,182,0,18,7,0,11,18
44,0,0,0,182,0,18,4,0,14,18
45,0,0,0,182,2,18,10,0,8,18
46,0,0,0,184,2,16,1,0,15,16
47,0,0,0,186,0,14,4,0,10,14
48,0,0,0,186,0,14,0,0,14,14
49,0,0,0,186,0,14,4,0,10,14
50,0,0,0,186,0,14,4,0,10,14
51,0,0,0,186,0,14,4,0,10,14
52,0,0,0,186,0,14,4,0,10,14
53,0,0,0,186,1,14,2,0,12,14
54,0,0,0,187,0,13,4,0,9,13
55,0,0,0,187,1,13,4,0,9,13
56,0,0,0,188,0,12,2,0,10,12
57,0,0,0,188,0,12,5,0,7,12
58,0,0,0,188,0,12,3,0,9,12
59,0,0,0,188,0,12,3,0,9,12
60,0,0,0,188,0,12,3,0,9,12
61,0,0,0,188,0,12,3,0,9,12
62,0,0,0,188,0,12,4,0,8,12
63,0,0,0,188,0,12,0,0,12,12
64,0,0,0,188,1,12,4,0,8,12
65,0,0,0,189,2,11,1,0,10,11
66,0,0,0,191,0,9,2,0,7,9
67,0,0,0,191,0,9,2,0,7,9
68,0,0,0,191,0,9,1,0,8,9
69,0,0,0,191,0,9,3,0,6,9
70,0,0,0,191,0,9,2,0,7,9
71,0,0,0,191,0,9,1,0,8,9
72,0,0,0,191,1,9,4,0,5,9
73,0,0,0,192,0,8,2,0,6,8
74,0,0,0,192,0,8,3,0,5,8
75,0,0,0,192,0,8,1,0,7,8
76,0,0,0,192,0,8,1,0,7,8
77,0,0,0,192,0,8,3,0,5,8
78,0,0,0,192,0,8,1,0,7,8
79,0,0,0,192,1,8,3,0,5,8
80,0,0,0,193,0,7,1,0,6,7
81,0,0,0,193,0,7,0,0,7,7
82,0,0,0,193,0,7,4,0,3,7
83,0,0,0,193,1,7,0,0,7,7
84,0,0,0,194,0,6,3,0,3,6
85,0,0,0,194,0,6,1,0,5,6
86,0,0,0,194,0,6,4,0,2,6
87,0,0,0,194,1,6,2,0,4,6
88,0,0,0,195,0,5,0,0,5,5
89,0,0,0,195,0,5,1,0,4,5
