# Simulation report. 
# Date: 1400/03/03 21:52:21
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,TotalTravelToNeighbor
0,0,0,0,6,60,994,62,0,932,994
1,0,0,0,66,64,934,72,0,862,934
2,0,0,0,130,49,868,60,0,810,870
3,0,0,0,179,62,821,69,0,752,821
4,0,0,0,241,54,759,57,0,702,759
5,0,0,0,295,40,705,46,0,659,705
6,0,0,0,335,44,665,54,0,611,665
7,0,0,0,379,44,621,52,0,569,621
8,0,0,0,423,38,577,46,0,531,577
9,0,0,0,461,33,539,37,0,502,539
10,0,0,0,494,30,506,36,0,470,506
11,0,0,0,524,31,476,39,0,437,476
12,0,0,0,555,33,445,39,0,406,445
13,0,0,0,588,23,412,24,0,388,412
14,0,0,0,611,16,389,20,0,369,389
15,0,0,0,627,22,373,27,0,346,373
16,0,0,0,649,24,351,26,0,325,351
17,0,0,0,673,18,327,20,0,307,327
18,0,0,0,691,22,309,24,0,285,309
19,0,0,0,713,14,287,15,0,272,287
20,0,0,0,727,13,273,15,0,258,273
21,0,0,0,740,11,260,13,0,247,260
22,0,0,0,751,16,249,18,0,231,249
23,0,0,0,767,13,233,14,0,219,233
24,0,0,0,780,11,220,14,0,206,220
25,0,0,0,791,16,209,20,0,189,209
26,0,0,0,807,15,193,16,0,177,193
27,0,0,0,822,14,178,15,0,163,178
28,0,0,0,836,5,164,5,0,159,164
29,0,0,0,841,7,159,8,0,151,159
30,0,0,0,848,6,152,6,0,146,152
31,0,0,0,854,11,146,11,0,135,146
32,0,0,0,865,6,135,6,0,129,135
33,0,0,0,871,6,129,7,0,122,129
34,0,0,0,877,6,123,6,0,117,123
35,0,0,0,883,4,117,4,0,113,117
36,0,0,0,887,7,113,7,0,106,113
37,0,0,0,894,5,106,5,0,101,106
38,0,0,0,899,4,101,5,0,96,101
39,0,0,0,903,10,97,10,0,87,97
40,0,0,0,913,1,87,1,0,86,87
41,0,0,0,914,0,86,0,0,86,86
42,0,0,0,914,2,86,2,0,84,86
43,0,0,0,916,4,84,5,0,79,84
44,0,0,0,920,4,80,5,0,75,80
45,0,0,0,924,6,76,7,0,69,76
46,0,0,0,930,3,70,4,0,66,70
47,0,0,0,933,2,67,2,0,65,67
48,0,0,0,935,3,65,3,0,62,65
49,0,0,0,938,2,62,3,0,59,62
50,0,0,0,940,3,60,3,0,57,60
51,0,0,0,943,0,57,0,0,57,57
52,0,0,0,943,0,57,0,0,57,57
53,0,0,0,943,3,57,3,0,54,57
54,0,0,0,946,1,54,2,0,52,54
55,0,0,0,947,1,53,1,0,52,53
56,0,0,0,948,2,52,2,0,50,52
57,0,0,0,950,1,50,1,0,49,50
58,0,0,0,951,2,49,2,0,47,49
59,0,0,0,953,4,47,4,0,43,47
60,0,0,0,957,0,43,0,0,43,43
61,0,0,0,957,4,43,5,0,38,43
62,0,0,0,961,2,39,2,0,37,39
63,0,0,0,963,3,37,3,0,34,37
64,0,0,0,966,2,34,2,0,32,34
65,0,0,0,968,1,32,2,0,30,32
66,0,0,0,969,2,31,2,0,29,31
67,0,0,0,971,0,29,1,0,28,29
68,0,0,0,971,2,29,2,0,27,29
69,0,0,0,973,1,27,2,0,25,27
70,0,0,0,974,2,26,2,0,24,26
71,0,0,0,976,0,24,0,0,24,24
72,0,0,0,976,2,24,2,0,22,24
73,0,0,0,978,2,22,2,0,20,22
74,0,0,0,980,0,20,0,0,20,20
75,0,0,0,980,0,20,0,0,20,20
76,0,0,0,980,1,20,1,0,19,20
77,0,0,0,981,1,19,1,0,18,19
78,0,0,0,982,2,18,2,0,16,18
79,0,0,0,984,1,16,2,0,14,16
80,0,0,0,985,1,15,1,0,14,15
81,0,0,0,986,1,14,1,0,13,14
82,0,0,0,987,0,13,0,0,13,13
83,0,0,0,987,0,13,0,0,13,13
84,0,0,0,987,0,13,0,0,13,13
85,0,0,0,987,0,13,0,0,13,13
86,0,0,0,987,0,13,0,0,13,13
87,0,0,0,987,0,13,0,0,13,13
88,0,0,0,987,1,13,1,0,12,13
89,0,0,0,988,0,12,0,0,12,12
90,0,0,0,988,1,12,1,0,11,12
91,0,0,0,989,0,11,0,0,11,11
92,0,0,0,989,1,11,1,0,10,11
93,0,0,0,990,0,10,0,0,10,10
94,0,0,0,990,1,10,1,0,9,10
95,0,0,0,991,0,9,0,0,9,9
