# Simulation report. 
# Date: 1400/03/05 00:15:14
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,2,0,0,46,200,50,0,150,0,200
1,0,2,0,46,31,144,49,0,95,10,144
2,0,2,0,77,25,108,44,0,67,12,111
3,0,2,0,102,12,80,31,0,51,16,82
4,0,2,0,114,13,64,19,0,45,22,64
5,0,2,0,127,3,49,16,0,34,23,50
6,0,2,0,130,2,44,10,0,34,26,44
7,0,2,0,132,1,41,5,0,36,27,41
8,0,2,0,133,2,38,7,0,31,29,38
9,0,2,0,135,0,34,3,0,31,31,34
10,0,2,0,135,1,32,8,0,24,33,32
11,0,2,0,136,0,29,2,0,27,35,29
12,0,2,0,136,1,28,6,0,22,36,28
13,0,2,0,137,1,24,3,0,21,39,24
14,0,2,0,138,0,23,4,0,19,39,23
15,0,2,0,138,0,22,1,0,21,40,22
16,0,2,0,138,1,22,4,0,18,40,22
17,0,2,0,139,1,19,4,0,15,42,19
18,0,2,0,140,1,16,6,0,10,44,16
19,0,2,0,141,0,15,4,0,11,44,15
20,0,2,0,141,0,15,2,0,13,44,15
21,0,2,0,141,1,15,1,0,14,44,15
22,0,2,0,142,0,13,1,0,12,45,13
23,0,2,0,142,0,13,1,0,12,45,13
24,0,2,0,142,0,12,3,0,9,46,12
25,0,2,0,142,0,12,3,0,9,46,12
26,0,2,0,142,0,11,1,0,10,47,11
27,0,2,0,142,0,10,3,0,7,48,10
28,0,2,0,142,0,9,2,0,7,49,9
29,0,2,0,142,0,8,3,0,5,50,8
30,0,2,0,142,0,8,2,0,6,50,8
31,0,2,0,142,0,8,1,0,7,50,8
32,0,2,0,142,0,8,2,0,6,50,8
33,0,2,0,142,0,8,1,0,7,50,8
34,0,2,0,142,0,8,4,0,4,50,8
