# Simulation report.,,,,,,,,,,,
# Date:,1400/03/05,18:48:10,,,,,,,,,
WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
0,0,1,0,2,32,498,42,0,456,0,498
1,0,1,0,34,33,456,65,0,393,8,458
2,0,1,0,69,55,417,78,0,342,11,420
3,0,1,0,125,33,357,65,0,294,16,359
4,0,1,0,159,36,316,58,0,263,20,321
5,0,1,0,195,28,281,52,0,230,23,282
6,0,1,0,223,31,248,45,0,204,28,249
7,0,1,0,254,15,214,28,0,186,32,214
8,0,1,0,269,16,195,33,0,163,35,196
9,0,1,0,285,16,177,25,0,153,37,178
10,0,1,0,301,9,158,18,0,141,40,159
11,0,1,0,310,13,148,18,0,130,42,148
12,0,1,0,323,3,135,10,0,125,42,135
13,0,1,0,326,8,129,9,0,120,45,129
14,0,1,0,334,3,121,10,0,111,45,121
15,1,1,0,337,5,115,8,0,107,48,115
16,1,1,0,342,3,107,5,0,103,50,108
17,1,1,0,345,4,105,10,0,95,50,105
18,1,1,0,349,7,101,9,0,92,50,101
19,1,1,0,356,2,94,9,0,85,50,94
20,1,1,0,358,5,91,6,0,86,50,92
21,1,1,0,363,2,87,5,0,82,50,87
22,1,1,0,365,3,85,6,0,79,50,85
23,1,1,0,368,2,82,6,0,76,50,82
24,1,1,0,370,2,80,4,0,76,50,80
25,1,1,0,372,2,78,3,0,75,50,78
26,1,1,0,374,3,76,10,0,66,50,76
27,1,1,0,377,1,73,10,0,63,50,73
28,1,1,0,378,2,72,6,0,66,50,72
29,1,1,0,380,1,70,4,0,66,50,70
30,1,1,0,381,0,69,8,0,61,50,69
31,1,1,0,381,0,69,4,0,65,50,69
32,1,1,0,381,1,69,5,0,64,50,69
33,1,1,0,382,2,68,4,0,64,50,68
34,1,1,0,384,0,66,5,0,61,50,66
35,1,1,0,384,1,66,4,0,62,50,66
36,1,1,0,385,2,65,7,0,58,50,65
37,1,1,0,387,0,63,6,0,57,50,63
38,1,1,0,387,0,63,6,0,57,50,63
39,1,1,0,387,0,63,6,0,57,50,63
40,1,1,0,387,1,63,4,0,59,50,63
41,1,1,0,388,1,62,5,0,57,50,62
42,1,1,0,389,2,61,2,0,59,50,61
43,1,1,0,391,0,59,3,0,56,50,59
44,1,1,0,391,1,59,5,0,54,50,59
45,1,1,0,392,0,58,5,0,53,50,58
46,1,1,0,392,2,58,9,0,49,50,58
47,1,1,0,394,3,56,3,0,53,50,56
48,1,1,0,397,0,53,7,0,46,50,53
49,1,1,0,397,1,53,1,0,52,50,53
50,1,1,0,398,1,52,2,0,50,50,52
51,1,1,0,399,0,51,2,0,49,50,51
52,1,1,0,399,0,51,4,0,47,50,51
53,1,1,0,399,0,51,3,0,48,50,51
54,1,1,0,399,0,51,3,0,48,50,51
55,1,1,0,399,1,51,4,0,47,50,51
56,1,1,0,400,1,50,3,0,47,50,50
57,1,1,0,401,0,49,3,0,46,50,49
58,1,1,0,401,1,49,2,0,47,50,49
59,1,1,0,402,1,48,3,0,45,50,48
60,1,1,0,403,1,47,1,0,46,50,47
61,1,1,0,404,1,46,2,0,44,50,46
62,1,1,0,405,0,45,1,0,44,50,45
63,1,1,0,405,0,45,2,0,43,50,45
64,1,1,0,405,2,45,1,0,44,50,45
65,1,1,0,407,1,43,3,0,40,50,43
66,1,1,0,408,0,42,6,0,36,50,42
67,1,1,0,408,1,42,1,0,41,50,42
68,1,1,0,409,0,41,2,0,39,50,41
69,1,1,0,409,0,41,2,0,39,50,41
70,1,1,0,409,1,41,2,0,39,50,41
71,1,1,0,410,1,40,3,0,37,50,40
72,1,1,0,411,0,39,2,0,37,50,39
73,1,1,0,411,1,39,1,0,38,50,39
74,1,1,0,412,1,38,1,0,37,50,38
75,1,1,0,413,0,37,0,0,37,50,37
76,1,1,0,413,1,37,1,0,36,50,37
77,1,1,0,414,0,36,1,0,35,50,36
78,1,1,0,414,1,36,1,0,35,50,36
79,1,1,0,415,0,35,2,0,33,50,35
80,1,1,0,415,0,35,4,0,31,50,35
81,1,1,0,415,0,35,2,0,33,50,35
82,1,1,0,415,0,35,2,0,33,50,35
83,1,1,0,415,1,35,6,0,29,50,35
84,1,1,0,416,0,34,2,0,32,50,34
85,1,1,0,416,0,34,2,0,32,50,34
86,1,1,0,416,0,34,5,0,29,50,34
87,1,1,0,416,1,34,3,0,31,50,34
88,1,1,0,417,0,33,2,0,31,50,33
89,1,1,0,417,0,33,2,0,31,50,33
90,1,1,0,417,0,33,4,0,29,50,33
91,1,1,0,417,0,33,1,0,32,50,33
92,1,1,0,417,0,33,0,0,33,50,33
93,1,1,0,417,0,33,1,0,32,50,33
94,1,1,0,417,1,33,2,0,31,50,33
95,1,1,0,418,0,32,2,0,30,50,32
96,1,1,0,418,0,32,1,0,31,50,32
97,1,1,0,418,0,32,2,0,30,50,32
98,1,1,0,418,0,32,2,0,30,50,32
99,1,1,0,418,0,32,2,0,30,50,32
100,1,1,0,418,0,32,2,0,30,50,32
