WorldTime,FullStateCount,StatesWithNoTarget,AgentsWithNoTargetState,AllInTargetAgents,InTargetAgentsInThisTime,UpdatedNextStatesOfAgents,SuccessTravelToGoToNeighbor,FailedTravelToGoToNeighbor,RandomTravelToNeighbors,AgentsInPitfall,TotalTravelToNeighbor
# Simulation report.,,,,,,,,,,,
# Date:,1400/03/05 19:04:46,,,,,,,,,,
0,0,1,0,2,34,498,42,0,456,0,498
1,0,1,0,36,38,461,72,0,391,1,463
2,0,1,0,75,47,418,78,0,342,5,420
3,0,1,0,123,50,365,73,0,294,10,367
4,0,1,0,174,20,312,37,0,275,14,312
5,0,1,0,194,28,283,51,0,234,21,285
6,0,1,0,223,21,246,34,0,215,28,249
7,0,1,0,244,26,225,35,0,192,29,227
8,0,1,0,270,11,198,27,0,172,31,199
9,0,1,0,281,17,184,25,0,159,35,184
10,0,1,0,298,9,165,16,0,150,36,166
11,0,1,0,307,4,156,9,0,147,37,156
12,0,1,0,311,7,149,14,0,135,40,149
13,0,1,0,318,11,137,18,0,120,44,138
14,1,1,0,329,6,125,21,0,104,46,125
15,1,1,0,335,4,116,10,0,106,49,116
16,1,1,0,339,5,112,12,0,100,49,112
17,1,1,0,344,6,107,6,0,101,49,107
18,1,1,0,350,1,101,6,0,95,49,101
19,1,1,0,351,7,100,7,0,93,49,100
20,1,1,0,358,2,93,5,0,88,49,93
21,1,1,0,360,1,91,8,0,83,49,91
22,1,1,0,361,0,90,2,0,88,49,90
23,1,1,0,361,2,90,7,0,83,49,90
24,1,1,0,363,5,87,5,0,83,49,88
25,1,1,0,368,2,83,3,0,80,49,83
26,1,1,0,370,1,81,6,0,75,49,81
27,1,1,0,371,1,80,4,0,76,49,80
28,1,1,0,372,2,79,2,0,77,49,79
29,1,1,0,374,5,77,6,0,71,49,77
30,1,1,0,379,2,72,4,0,68,49,72
31,1,1,0,381,2,70,4,0,66,49,70
32,1,1,0,383,0,68,3,0,65,49,68
33,1,1,0,383,1,68,2,0,66,49,68
34,1,1,0,384,0,67,3,0,64,49,67
35,1,1,0,384,1,67,4,0,63,49,67
36,1,1,0,385,0,66,6,0,60,49,66
37,1,1,0,385,1,66,5,0,61,49,66
38,1,1,0,386,1,65,3,0,62,49,65
39,1,1,0,387,0,64,3,0,61,49,64
40,1,1,0,387,0,64,1,0,63,49,64
41,1,1,0,387,0,64,5,0,59,49,64
42,1,1,0,387,1,64,3,0,61,49,64
43,1,1,0,388,1,63,3,0,60,49,63
44,1,1,0,389,1,62,1,0,61,49,62
45,1,1,0,390,0,61,6,0,55,49,61
46,1,1,0,390,3,61,0,0,61,49,61
47,1,1,0,393,1,58,1,0,57,49,58
48,1,1,0,394,1,57,2,0,55,49,57
49,1,1,0,395,1,56,1,0,55,49,56
50,1,1,0,396,0,55,1,0,54,49,55
51,1,1,0,396,1,55,1,0,54,49,55
52,1,1,0,397,0,54,2,0,52,49,54
53,1,1,0,397,0,54,0,0,54,49,54
54,1,1,0,397,0,54,0,0,54,49,54
55,1,1,0,397,3,54,0,0,54,49,54
56,1,1,0,400,2,51,0,0,51,49,51
57,1,1,0,402,0,49,0,0,49,49,49
58,1,1,0,402,1,49,1,0,48,49,49
59,1,1,0,403,1,48,2,0,46,49,48
60,1,1,0,404,1,47,3,0,44,49,47
61,1,1,0,405,0,46,1,0,45,49,46
62,1,1,0,405,0,46,2,0,44,49,46
63,1,1,0,405,0,46,2,0,44,49,46
64,1,1,0,405,0,46,1,0,45,49,46
65,1,1,0,405,1,46,3,0,43,49,46
66,1,1,0,406,2,45,0,0,45,49,45
67,1,1,0,408,1,43,0,0,43,49,43
68,1,1,0,409,0,42,0,0,42,49,42
69,1,1,0,409,0,42,2,0,40,49,42
70,1,1,0,409,0,42,1,0,41,49,42
71,1,1,0,409,0,42,3,0,39,49,42
72,1,1,0,409,0,42,1,0,41,49,42
73,1,1,0,409,1,42,3,0,39,49,42
74,1,1,0,410,0,41,0,0,41,49,41
75,1,1,0,410,0,41,2,0,39,49,41
76,1,1,0,410,0,41,0,0,41,49,41
77,1,1,0,410,0,41,2,0,39,49,41
78,1,1,0,410,0,41,2,0,39,49,41
79,1,1,0,410,0,41,1,0,40,49,41
80,1,1,0,410,0,41,4,0,37,49,41
81,1,1,0,410,1,41,3,0,38,49,41
82,1,1,0,411,2,40,2,0,38,49,40
83,1,1,0,413,0,38,1,0,37,49,38
84,1,1,0,413,0,38,0,0,38,49,38
85,1,1,0,413,0,38,1,0,37,49,38
86,1,1,0,413,0,38,1,0,37,49,38
87,1,1,0,413,0,38,0,0,38,49,38
88,1,1,0,413,0,38,0,0,38,49,38
89,1,1,0,413,1,38,1,0,37,49,38
90,1,1,0,414,0,37,1,0,36,49,37
91,1,1,0,414,0,37,1,0,36,49,37
92,1,1,0,414,1,37,0,0,37,49,37
93,1,1,0,415,0,36,0,0,36,49,36
94,1,1,0,415,0,36,5,0,31,49,36
95,1,1,0,415,1,36,0,0,36,49,36
96,1,1,0,416,1,35,1,0,34,49,35
97,1,1,0,417,0,34,0,0,34,49,34
98,1,1,0,417,0,34,1,0,33,49,34
99,1,1,0,417,0,34,0,0,34,49,34
100,1,1,0,417,0,34,1,0,33,49,34
101,1,1,0,417,0,34,0,0,34,49,34
102,1,1,0,417,0,34,1,0,33,49,34
103,1,1,0,417,0,34,0,0,34,49,34
